,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-12-31 14:50:00+00:00,11.6,121.28,22,3.5,047 km S 38° W of Caluya (Antique),unspecified,unspecified
1,2015-12-31 01:35:00+00:00,10.33,126.19,11,3.1,037 km N 20° E of Burgos (Surigao Del Norte),unspecified,unspecified
2,2015-12-31 00:53:00+00:00,21.11,121.87,120,4.6,035 km N 03° E of Ibayat (Batanes),unspecified,unspecified
3,2015-12-30 21:21:00+00:00,8.33,126.83,22,3.1,054 km S 86° E of Hinatuan (Surigao del Sur),unspecified,unspecified
4,2015-12-30 19:36:00+00:00,7.77,127.29,10,4.3,083 km N 75° E of Baganga (Davao Oriental),unspecified,unspecified
5,2015-12-30 11:55:00+00:00,13.76,120.56,160,3.1,011 km S 46° W of Calatagan (Batangas),unspecified,unspecified
6,2015-12-30 10:46:00+00:00,19.32,121.33,6,4.1,015 km N 75° W of Calayan (Cagayan),unspecified,unspecified
7,2015-12-29 14:46:00+00:00,16.81,120.49,8,2.3,028 km N 42° E of San Fernando (La Union),unspecified,unspecified
8,2015-12-29 11:39:00+00:00,9.73,124.78,74,3.1,023 km S 85° E of Anda (Bohol),unspecified,unspecified
9,2015-12-28 15:35:00+00:00,16.56,120.97,3,2.7,006 km N 36° W of Ambaguio (Nueva Vizcaya),unspecified,unspecified
10,2015-12-28 01:31:00+00:00,6.34,125.98,6,4.6,036 km N 63° E of Don Marcelino (Davao Occidental),unspecified,unspecified
11,2015-12-27 22:17:00+00:00,4.36,125.96,95,4.8,131 km S 24° E of Sarangani (Davao Occidental),unspecified,unspecified
12,2015-12-27 19:23:00+00:00,10.33,126.12,1,2.7,035 km N 08° E of Burgos (Surigao Del Norte),unspecified,unspecified
13,2015-12-27 18:36:00+00:00,17.23,121.55,33,3.3,007 km N 75° W of Mallig (Isabela),unspecified,unspecified
14,2015-12-27 14:52:00+00:00,14.07,120.04,31,2.2,025 km N 20° W of Lubang (Occidental Mindoro),unspecified,unspecified
15,2015-12-27 13:18:00+00:00,13.81,120.6,161,3.1,004 km S 57° W of Calatagan (Batangas),unspecified,unspecified
16,2015-12-27 10:13:00+00:00,6.43,125.48,25,4.5,049 km N 45° E of General Santos City,unspecified,unspecified
17,2015-12-27 05:52:00+00:00,13.77,120.28,29,1.5,007 km N 34° E of Looc (Occidental Mindoro),unspecified,unspecified
18,2015-12-27 04:02:00+00:00,6.21,126.95,89,2.5,108 km S 63° E of Governor Generoso (Davao Oriental),unspecified,unspecified
19,2015-12-26 23:57:00+00:00,12.03,125.67,34,3.3,020 km S 87° E of Dolores (Eastern Samar),unspecified,unspecified
20,2015-12-26 22:11:00+00:00,10.09,126.31,60,5.2,030 km N 56° E of San Isidro (Surigao Del Norte),unspecified,unspecified
21,2015-12-26 20:04:00+00:00,9.89,126.05,10,3.2,007 km S 38° W of San Isidro (Surigao Del Norte),unspecified,unspecified
22,2015-12-26 20:02:00+00:00,15.56,119.89,32,2.6,013 km N 07° W of Palauig (Zambales),unspecified,unspecified
23,2015-12-26 19:33:00+00:00,15.36,119.83,24,2.4,012 km S 41° W of Palauig (Zambales),unspecified,unspecified
24,2015-12-26 18:16:00+00:00,16.36,119.82,26,3.7,009 km S 62° W of Bolinao (Pangasinan),unspecified,unspecified
25,2015-12-26 17:33:00+00:00,13.75,125.35,22,3.8,106 km N 85° E of Baras (Catanduanes),unspecified,unspecified
26,2015-12-26 16:24:00+00:00,16.53,120.08,24,2.6,026 km N 52° E of Bolinao (Pangasinan),unspecified,unspecified
27,2015-12-26 15:26:00+00:00,16.42,119.78,28,2.5,012 km N 76° W of Bolinao (Pangasinan),unspecified,unspecified
28,2015-12-26 03:31:00+00:00,5.5,126.39,62,3.5,096 km S 64° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
29,2015-12-26 00:29:00+00:00,5.52,125.99,15,4.4,057 km S 46° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
30,2015-12-25 22:07:00+00:00,16.49,120.32,76,2.6,005 km S 17° W of Bauang (La Union),unspecified,unspecified
31,2015-12-25 21:41:00+00:00,5.64,125.9,31,4.7,053 km N 64° E of Sarangani (Davao Occidental),unspecified,unspecified
32,2015-12-25 19:27:00+00:00,9.98,126.14,24,2.8,007 km N 51° E of San Isidro (Surigao Del Norte),unspecified,unspecified
33,2015-12-25 18:36:00+00:00,9.18,126.43,18,2.7,026 km N 68° E of Tandag (Surigao Del Sur),unspecified,unspecified
34,2015-12-25 17:04:00+00:00,15.78,119.98,23,2.0,008 km N 73° E of Santa Cruz (Zambales),unspecified,unspecified
35,2015-12-25 16:36:00+00:00,13.56,120.35,33,2.0,020 km N 39° W of Paluan (Occidental Mindoro),unspecified,unspecified
36,2015-12-25 15:25:00+00:00,9.92,126.12,32,2.7,004 km S 54° E of San Isidro (Surigao Del Norte),unspecified,unspecified
37,2015-12-25 14:19:00+00:00,10.76,123.5,34,2.6,003 km N 10° W of Toboso (Negros Occidental),unspecified,unspecified
38,2015-12-25 12:21:00+00:00,20.27,121.41,35,3.1,048 km S 81° W of Sabtang (Batanes),unspecified,unspecified
39,2015-12-25 07:57:00+00:00,13.67,120.54,33,2.6,020 km S 30° W of Calatagan (Batangas),unspecified,unspecified
40,2015-12-25 05:14:00+00:00,6.51,126.06,23,4.0,016 km S 07° W of Governor Generoso (Davao Oriental),unspecified,unspecified
41,2015-12-25 05:02:00+00:00,18.12,121.17,18,3.1,010 km N 11° W of Kabugao (Apayao),unspecified,unspecified
42,2015-12-24 16:36:00+00:00,12.62,123.29,28,3.4,017 km N 45° W of Aroroy (Masbate),unspecified,unspecified
43,2015-12-24 13:51:00+00:00,14.82,120.62,20,2.1,009 km N 81° E of Orani (Bataan),unspecified,unspecified
44,2015-12-24 11:41:00+00:00,9.43,126.29,21,3.6,021 km N 33° E of Cortes (Surigao del Sur),unspecified,unspecified
45,2015-12-24 11:36:00+00:00,14.05,120.5,121,2.1,014 km S 78° W of Nasugbu (Batangas),unspecified,unspecified
46,2015-12-24 06:49:00+00:00,10.25,122.15,24,3.3,031 km S 51° E of Anini-y (Antique),unspecified,unspecified
47,2015-12-23 17:25:00+00:00,17.81,120.66,14,2.8,010 km N 19° W of Lagayan (Abra),unspecified,unspecified
48,2015-12-23 16:10:00+00:00,8.06,125.45,26,2.1,026 km S 56° E of Cabanglasan (Bukidnon),unspecified,unspecified
49,2015-12-23 14:40:00+00:00,15.2,119.93,31,2.9,014 km S 44° W of Botolan (Zambales),unspecified,unspecified
50,2015-12-23 12:54:00+00:00,13.71,120.69,44,2.2,015 km S 23° W of Calatagan (Batangas),unspecified,unspecified
51,2015-12-23 12:17:00+00:00,9.05,123.38,30,2.2,017 km S 43° W of San Juan (Siquijor),unspecified,unspecified
52,2015-12-23 11:45:00+00:00,5.88,125.78,140,2.5,019 km S 89° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
53,2015-12-23 08:26:00+00:00,14.09,119.12,32,2.4,111 km N 77° W of Lubang (Occidental Mindoro),unspecified,unspecified
54,2015-12-23 03:08:00+00:00,11.46,125.37,46,3.6,015 km S 73° W of Maydolong (Eastern Samar),unspecified,unspecified
55,2015-12-22 20:17:00+00:00,9.22,126.18,22,2.6,006 km S 16° W of Cortes (Surigao Del Sur),unspecified,unspecified
56,2015-12-22 17:46:00+00:00,15.53,119.84,27,2.9,012 km S 85° W of Masinloc (Zambales),unspecified,unspecified
57,2015-12-22 11:23:00+00:00,14.06,120.49,106,2.4,014 km S 80° W of Nasugbu (Batangas),unspecified,unspecified
58,2015-12-22 08:34:00+00:00,6.54,125.64,5,2.8,014 km N 12° E of Malita (Davao Occidental),unspecified,unspecified
59,2015-12-22 00:15:00+00:00,6.1,124.65,17,3.4,013 km N 16° E of Kiamba (Sarangani),unspecified,unspecified
60,2015-12-21 21:59:00+00:00,19.43,121.1,34,2.9,041 km N 67° W of Calayan (Cagayan),unspecified,unspecified
61,2015-12-21 16:05:00+00:00,16.55,122.31,15,3.1,020 km N 32° E of Dilasag (Aurora),unspecified,unspecified
62,2015-12-21 08:33:00+00:00,15.45,119.69,23,2.9,023 km N 85° W of Palauig (Zambales),unspecified,unspecified
63,2015-12-21 06:34:00+00:00,9.85,126.12,29,2.4,002 km S 49° E of Pilar (Surigao del Norte),unspecified,unspecified
64,2015-12-21 05:10:00+00:00,14.21,121.07,10,2.7,010 km N 77° E of Calamba (Laguna),unspecified,unspecified
65,2015-12-21 04:46:00+00:00,14.1,121.19,4,4.0,010 km N 82° E of Tanauan City (Batangas),unspecified,unspecified
66,2015-12-21 03:08:00+00:00,10.46,125.97,22,3.0,045 km N 75° E of Loreto (Dinagat),unspecified,unspecified
67,2015-12-20 21:53:00+00:00,15.55,119.6,47,2.9,036 km N 69° W of Palauig (Zambales),unspecified,unspecified
68,2015-12-20 16:30:00+00:00,16.4,122.27,17,2.9,006 km N 83° E of Dilasag (Aurora),unspecified,unspecified
69,2015-12-20 09:33:00+00:00,12.75,125.27,20,3.2,028 km N 37° E of Palapag (Northern Samar),unspecified,unspecified
70,2015-12-20 09:28:00+00:00,13.1,124.49,108,5.3,033 km N 81° E of Prieto Diaz (Sorsogon),unspecified,unspecified
71,2015-12-20 09:25:00+00:00,13.33,125.75,83,3.1,111 km N 39° E of Palapag (Northern Samar),unspecified,unspecified
72,2015-12-20 00:49:00+00:00,5.51,126.29,74,3.4,085 km S 61° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
73,2015-12-19 21:00:00+00:00,9.48,126.49,5,2.2,040 km N 56° E of Cortes (Surigao del Sur),unspecified,unspecified
74,2015-12-19 14:53:00+00:00,20.83,120.88,16,4.1,100 km N 88° W of Itbayat (Batanes),unspecified,unspecified
75,2015-12-19 14:07:00+00:00,10.05,126.35,14,2.7,031 km N 83° W of Burgos (Surigao del Norte),unspecified,unspecified
76,2015-12-19 09:38:00+00:00,18.48,119.55,92,4.6,110 km N 63° W of Currimao (Ilocos Norte),unspecified,unspecified
77,2015-12-18 18:44:00+00:00,17.73,120.4,3,2.6,005 km N 34° W of Magsingal (Ilocos Sur),unspecified,unspecified
78,2015-12-18 13:53:00+00:00,9.97,126.29,10,4.0,023 km N 82° E of San Isidro (Surigao del Norte),unspecified,unspecified
79,2015-12-18 11:41:00+00:00,13.54,120.79,18,1.1,012 km N 32° E of Abra de Ilog ( Occidental Mindoro),unspecified,unspecified
80,2015-12-18 03:39:00+00:00,4.27,125.87,123,4.6,136 km S 19° E of Sarangani (Davao Occidental),unspecified,unspecified
81,2015-12-18 01:09:00+00:00,14.64,120.25,20,2.7,005 km S 28° W of Morong (Bataan),unspecified,unspecified
82,2015-12-17 21:46:00+00:00,7.13,126.95,8,2.8,046 km S 79° E of Manay (Davao Oriental),unspecified,unspecified
83,2015-12-17 12:44:00+00:00,17.74,120.53,47,5.2,008 km S 86° E of Lapog (San Juan) (Ilocos Sur),unspecified,unspecified
84,2015-12-17 12:06:00+00:00,9.4,125.64,18,2.7,044 km S 21° E of Surigao City,unspecified,unspecified
85,2015-12-17 10:05:00+00:00,15.17,120.03,26,3.2,003 km N 73° W of Cabangan (Zambales),unspecified,unspecified
86,2015-12-17 02:45:00+00:00,17.74,121.41,8,2.9,003 km N 70° W of Tuao (Cagayan),unspecified,unspecified
87,2015-12-17 01:39:00+00:00,13.54,124.05,50,2.9,020 km S 76° W of Virac (Catanduanes),unspecified,unspecified
88,2015-12-16 18:41:00+00:00,14.34,119.81,5,2.4,064 km N 32° W of Lubang (Occidental Mindoro),unspecified,unspecified
89,2015-12-16 16:18:00+00:00,9.61,125.94,31,2.0,002 km S 72° W of Socorro (Surigao del Norte),unspecified,unspecified
90,2015-12-16 08:32:00+00:00,9.97,125.99,9,2.5,002 km N 62° W of San Benito (Surigao del Sur),unspecified,unspecified
91,2015-12-16 07:51:00+00:00,5.67,125.92,107,3.8,041 km S 55° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
92,2015-12-15 15:39:00+00:00,15.91,122.14,9,2.3,033 km S 37° E of Dinalungan (Aurora),unspecified,unspecified
93,2015-12-15 15:19:00+00:00,10.09,126.4,28,2.6,037 km N 77° E of Burgos (Surigao Del Norte),unspecified,unspecified
